experiment_id	                       N	Tt	Trf     omega	D
1d75395066f40a6c318e39b0ea365671	3	0.079	0.079   -0.395	0.020131	
707199705ed58a387dcdf897521e69ea	3	0.154	0.154   -0.614	-0.03786	
0aa85dade5cb0a2299522f33aa4d36b2	3	0.457	0.457   -0.331	0.014547	
cc5aad54bc3e5a54ff8c7992e478662c	3	0.598	0.598   -0.328	0.039803	
30ee47e3544c2446e93fd42cdb1c7902	3	0.791	0.791   -0.298	0.049293	
ce99fb8015f4040cd43adf2159e9bdd4	3	0.932	0.932   0.168	0.020177	
4908e639364616c06e06fa2372d16206	3	1.52	1.52    -0.014	0.031968	
a16b8f9858391fb74644ba9c3258c9ee	3	1.549	1.549   -0.082	0.027084	
757e731c97e81e0b5327977d800e5cad	10	0.141	0.141   -0.373	0.090695	
b27803a826a0ad972a9d6f5d9e58c2e4	10	0.286	0.286   -0.394	0.091270	
8f944b27fc07a968d599c68c2107812c	10	0.886	0.886   -0.115	0.076242	
402ce92e2ebfed1aa1e603abeaf0388d	10	1.041	1.041   -0.079	0.045046	
4e1453fb7ec770be08ba0405f1233463	10	1.436	1.436   -0.008	0.025472	
18af3c9a4c08b992e4a4f879741f592a	10	1.565	1.565   -0.042	0.043416	
e104ea7ab23a3075f6b935e5a63717dc	10	1.67	1.67    0.063	0.044494	
5524762f75cdcd64204989ad71d0202a	10	2.34	2.34    0.075	0.106013	
5dadd2ab147dde7ddb78d7f71dd57a4c	10	2.962	2.962   0.14	0.103265	
12af2e9cc030eb75966cac6c0d341512	10	2.277	2.277   0.107	0.059842	
771f2e79bbd241dfeed9dc3d3acf5d2a	10	3.147	3.147   0.207	0.104525	
44b967a39c4386471bfbda8d7a2af411	10	3.46	3.46    0.132	0.095511	
542c97bebcfcb74ec228755f1a5def0d	10	3.283	3.283   0.117	0.057394	
f24af911ceedfb4070011a2c2eaac1cc	25	0.196	0.196   -0.337	0.136607	
2946f921c1e5e02b573857ab18e767a3	25	0.352	0.352   -0.309	0.143424	
80548cf017004f2fc93c16f664d3955f	25	0.62	0.62    -0.15	0.103017	
62c7df2c4515409bddb021b7bd0bd4b9	25	0.943	0.943   -0.047	0.037446	
ca91bdcc009a25be8428dfff787c6038	25	1.18	1.18    0.011	0.032987	
38fe69ebcc0847135a6d8d676e6f7850	25	1.488	1.488   0.029	0.041892	
f18386af50205a4cc6861e549db0ebd7	25	1.962	1.962   0.076	0.056499	
69dfd93d44de3a79297788beedb712de	25	2.179	2.179   0.123	0.101873	
3dae83831c0310202c2e7ca7b592c1e3	25	2.55	2.55    0.148	0.118111	
5a566d4c9de1e10ed3ae3618456bc071	25	3.171	3.171   0.175	0.149552	
dcdf66972bca1880cc7be6bb08770a3c	25	3.964	3.964   0.231	0.211182		
5ac8543758342346a52402e578bfaf41	45	0.456	0.456   -0.194	0.182578	
155e9e3bf635544e8ff7240c760bee7b	45	0.627	0.627   -0.123	0.128968	
0aa7ece214139db8501bb5b4ac3fbdc1	45	0.707	0.707   -0.075	0.068627	
48d0a742c060c9b28e30e8b2490c80bc	45	0.803	0.803   -0.054	0.050870	
9cd14eb3963525cea5f0ea8e5ad33614	45	1.088	1.088   0.006	0.017158	
f509f3b902a7ada8064a9247404d7019	45	1.161	1.161   0.028	0.028417	
d55cb1546d02979fa61786c347dd440d	45	1.499	1.499   0.073	0.065699	
fa20f7895bd20257d9a2531abe98bf8e	45	1.693	1.693   0.081	0.111130	
656ac3f84a53672294b835362a2c563f	45	1.775	1.775   0.111	0.111128	
db435326759f638689196d97f4f8fd45	45	1.728	1.728   0.119	0.142977	
edc6f35457554fd45382f6becdf41d97	45	2.647	2.647   0.258	0.386617	
6c3eab3dea7b0313037973c260a421a1	45	3.189	3.189   0.365	0.486350
50b6e43e760b5946773274462ac6901b	45	3.253	3.253   0.38	0.419479	
bf7fc9845a4f93f47f5677dc0d5db14a	55	0.609	0.609   -0.093	0.102034	
251b25687747c7572ce81d09ac137418	55	0.656	0.656   -0.075	0.057880	
0502771b61c2fdb0277cd60064388602	55	0.747	0.747   -0.089	0.098758	
489431daa71ca206d863c14ded8a6894	55	0.913	0.913   -0.075	0.081257	
2a03c7cbdab1779eab34224b4e84553b	55	0.675	0.675   -0.072	0.076008	
91752355515f081e5b9c2ce35bd78e8f	55	0.769	0.769   -0.049	0.060954	
0c32a8472a67c0af426479c7f0f61510	55	0.71	0.71    -0.071	0.081632	
cb2430bfd69068eebf80cea3597833aa	55	0.816	0.816   -0.034	0.049802	
82cfeb82fb0e2a23e5d9dc1c0de00a43	55	1.012	1.012   0.023	0.028843	
5f5d3bea58779367e5d3f6581e92a232	55	1.105	1.105   0.057	0.046419	
64fe2421c60f7ec52e6afc909c6ea0ed	55	1.143	1.143   0.072	0.062915	
155acbda9861924c31f36a9c024b9a2f	55	1.291	1.291   0.074	0.074565	
2ec0e1a60debfb118a462a4b3373e683	55	1.24	1.24    0.097	0.101414	
82e3acab43017b0bea52c593037a3c0c	55	1.487	1.487   0.146	0.206231	
396b48aaefee060ae012b6d80425b879	55	1.49	1.49    0.085	0.083183	
723be41f2f1cd0724797fdbe7785611b	55	2.448	2.448   0.401	0.261473	
c5017617697f9c9a2df42031062dad2a	55	2.526	2.526   0.48	0.292603	
