experiment_id	                        N	Tt	Trf   	omega	D	          w
1d75395066f40a6c318e39b0ea365671	3	0.079	93.85 	-0.395	0.020131	-24.509
707199705ed58a387dcdf897521e69ea	3	0.154	78.75 	-0.614	-0.03786	-122.98
0aa85dade5cb0a2299522f33aa4d36b2	3	0.457	74.90 	-0.331	0.014547	-184.47
cc5aad54bc3e5a54ff8c7992e478662c	3	0.598	84.96 	-0.328	0.039803	-236.40
30ee47e3544c2446e93fd42cdb1c7902	3	0.791	71.58 	-0.298	0.049293	-253.63
4908e639364616c06e06fa2372d16206	3	1.52	376.1 	-0.014	0.031968	-358.76
a16b8f9858391fb74644ba9c3258c9ee	3	1.549	351.9 	-0.082	0.027084	-353.73
757e731c97e81e0b5327977d800e5cad	10	0.141	129.0 	-0.373	0.090695	-47.642
8f944b27fc07a968d599c68c2107812c	10	0.886	122.7 	-0.115	0.076242	-205.17
402ce92e2ebfed1aa1e603abeaf0388d	10	1.041	115.8 	-0.079	0.045046	-225.40
4e1453fb7ec770be08ba0405f1233463	10	1.436	118.0 	-0.008	0.025472	-273.19
18af3c9a4c08b992e4a4f879741f592a	10	1.565	132.3 	-0.042	0.043416	-284.83
e104ea7ab23a3075f6b935e5a63717dc	10	1.67	187.17	0.063	0.044494	-290.48
5524762f75cdcd64204989ad71d0202a	10	2.34	614.29	0.075	0.106013	-320.04
5dadd2ab147dde7ddb78d7f71dd57a4c	10	2.962	1014.5	0.14	0.103265	-342.27
12af2e9cc030eb75966cac6c0d341512	10	2.277	568.39	0.107	0.059842	-317.74
771f2e79bbd241dfeed9dc3d3acf5d2a	10	3.147	1108.9	0.207	0.104525	-348.99
44b967a39c4386471bfbda8d7a2af411	10	3.46	1060. 	0.132	0.095511	-358.04
542c97bebcfcb74ec228755f1a5def0d	10	3.283	1091.4	0.117	0.057394	-352.90
f24af911ceedfb4070011a2c2eaac1cc	25	0.196	120.4 	-0.337	0.136607	-34.514
2946f921c1e5e02b573857ab18e767a3	25	0.352	135.2 	-0.309	0.143424	-114.07
80548cf017004f2fc93c16f664d3955f	25	0.62	139.04	-0.15	0.103017	-159.37
62c7df2c4515409bddb021b7bd0bd4b9	25	0.943	138.94	-0.047	0.037446	-186.66
ca91bdcc009a25be8428dfff787c6038	25	1.18	137.78	0.011	0.032987	-198.29
38fe69ebcc0847135a6d8d676e6f7850	25	1.488	137.4 	0.029	0.041892	-216.13
f18386af50205a4cc6861e549db0ebd7	25	1.962	141.4 	0.076	0.056499	-233.02
69dfd93d44de3a79297788beedb712de	25	2.179	142.17	0.123	0.101873	-252.13
3dae83831c0310202c2e7ca7b592c1e3	25	2.55	143.1 	0.148	0.118111	-285.32
5a566d4c9de1e10ed3ae3618456bc071	25	3.171	144.8 	0.175	0.149552	-293.41
dcdf66972bca1880cc7be6bb08770a3c	25	3.964	163.7 	0.231	0.211182	-315.32
5ac8543758342346a52402e578bfaf41	45	0.456	176.9 	-0.194	0.182578	-84.193
155e9e3bf635544e8ff7240c760bee7b	45	0.627	173.72	-0.123	0.128968	-99.274
0aa7ece214139db8501bb5b4ac3fbdc1	45	0.707	172.25	-0.075	0.068627	-106.13
48d0a742c060c9b28e30e8b2490c80bc	45	0.803	170.38	-0.054	0.05087	        -114.19
9cd14eb3963525cea5f0ea8e5ad33614	45	1.088	164.95	0.006	0.017158	-137.05
f509f3b902a7ada8064a9247404d7019	45	1.161	163.57	0.028	0.028417	-142.64
d55cb1546d02979fa61786c347dd440d	45	1.499	156.90	0.073	0.065699	-167.18
fa20f7895bd20257d9a2531abe98bf8e	45	1.693	153.19	0.081	0.11113	        -180.24
656ac3f84a53672294b835362a2c563f	45	1.775	151.5 	0.111	0.111128	-185.54
db435326759f638689196d97f4f8fd45	45	1.728	152.51	0.119	0.142977	-182.52
edc6f35457554fd45382f6becdf41d97	45	2.647	134.6 	0.258	0.386617	-206.44
6c3eab3dea7b0313037973c260a421a1	45	3.189	131.71	0.365	0.48635	        -233.30
50b6e43e760b5946773274462ac6901b	45	3.253	131.4 	0.38	0.419479	-236.81
bf7fc9845a4f93f47f5677dc0d5db14a	55	0.609	168.85	-0.093	0.102034	-109.49
251b25687747c7572ce81d09ac137418	55	0.656	176.75	-0.075	0.05788	        -110.63
0502771b61c2fdb0277cd60064388602	55	0.747	189.8 	-0.089	0.098758	-112.80
489431daa71ca206d863c14ded8a6894	55	0.913	206.3 	-0.075	0.081257	-116.59
2a03c7cbdab1779eab34224b4e84553b	55	0.675	179.75	-0.072	0.076008	-111.09
91752355515f081e5b9c2ce35bd78e8f	55	0.769	192.60	-0.049	0.060954	-113.32
0c32a8472a67c0af426479c7f0f61510	55	0.71	184.89	-0.071	0.081632	-111.93
cb2430bfd69068eebf80cea3597833aa	55	0.816	197.95	-0.034	0.049802	-114.40
82cfeb82fb0e2a23e5d9dc1c0de00a43	55	1.012	199.91	0.023	0.028843	-119.67
5f5d3bea58779367e5d3f6581e92a232	55	1.105	190.84	0.057	0.046419	-122.49
64fe2421c60f7ec52e6afc909c6ea0ed	55	1.143	186.26	0.072	0.062915	-123.62
155acbda9861924c31f36a9c024b9a2f	55	1.291	168.66	0.074	0.074565	-128.37
2ec0e1a60debfb118a462a4b3373e683	55	1.24	173.19	0.097	0.101414	-126.55
82e3acab43017b0bea52c593037a3c0c	55	1.487	172.9 	0.146	0.206231	-137.73
396b48aaefee060ae012b6d80425b879	55	1.49	174.24	0.085	0.083183	-137.98
723be41f2f1cd0724797fdbe7785611b	55	2.448	507.00	0.401	0.261473	-214.06
c5017617697f9c9a2df42031062dad2a	55	2.526	162.90 	0.48	0.292603	-190.57
